,batch_size,dni_rmse,dropout,epochs,lag,loss,model_filename,params,r2,rmse,time_ran,tts_year,notes
0,1000,,0.3,2,24,"{'val_loss': [0.1319106151001746, 0.09753008122714854], 'loss': [0.16824653487199862, 0.1156157197284736]}",model_24_lag_1539828685.h5,"{'batch_size': 1000, 'epochs': 2, 'steps': None, 'samples': 15208, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-27.72707974808705,0.3122980579269853,,2012,
1,1000,,0.3,2,72,"{'val_loss': [0.09933691712461507, 0.0890695123036086], 'loss': [0.11394583532159121, 0.09783158048318999]}",model_72_lag_1539828700.h5,"{'batch_size': 1000, 'epochs': 2, 'steps': None, 'samples': 15160, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-19.83672753097589,0.29844515829973106,,2012,
2,1000,,0.3,2,168,"{'val_loss': [0.10483372032810502, 0.09176952838477362], 'loss': [0.12584453629279352, 0.10113634579022135]}",model_168_lag_1539828724.h5,"{'batch_size': 1000, 'epochs': 2, 'steps': None, 'samples': 15064, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-23.785154626509875,0.30293485910919343,,2012,
3,1000,334.2799953352735,0.3,2,24,"{'val_loss': [0.11410914926838303, 0.1047919530668447], 'loss': [0.12606595874789012, 0.11246296136724768]}",model_24_lag_1539829201.h5,"{'batch_size': 1000, 'epochs': 2, 'steps': None, 'samples': 15208, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-68.72015655186657,0.32371585221411786,1539829209.0,2012,
4,1000,321.3145591380295,0.3,2,72,"{'val_loss': [0.10655641882602855, 0.09682064232310052], 'loss': [0.14299846680387657, 0.10508285946455984]}",model_72_lag_1539829218.h5,"{'batch_size': 1000, 'epochs': 2, 'steps': None, 'samples': 15160, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-37.384210271995634,0.3111601585247333,1539829226.0,2012,
5,1000,315.8011882546073,0.3,2,168,"{'val_loss': [0.10708953705005485, 0.09352650147651247], 'loss': [0.12236193940241287, 0.10242768941695425]}",model_168_lag_1539829242.h5,"{'batch_size': 1000, 'epochs': 2, 'steps': None, 'samples': 15064, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-30.933304799158268,0.30582102492713514,1539829252.0,2012,
6,1000,315.4500792726075,0.3,2,24,"{'val_loss': [0.1021212695957239, 0.09331864990787883], 'loss': [0.1179348623663234, 0.10283557683041321]}",1539829385_model_24_lag.h5,"{'batch_size': 1000, 'epochs': 2, 'steps': None, 'samples': 15208, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-31.48125997227743,0.30548101192930643,1539829394.0,2012,
7,1000,324.79940218699045,0.3,2,72,"{'val_loss': [0.10990308506784721, 0.09893218522473686], 'loss': [0.14743631266273735, 0.1049239332136504]}",1539829403_model_72_lag.h5,"{'batch_size': 1000, 'epochs': 2, 'steps': None, 'samples': 15160, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-47.179091445441856,0.3145348712002417,1539829412.0,2012,
8,1000,320.7357595244494,0.3,2,168,"{'val_loss': [0.1059515149725341, 0.09647214683810477], 'loss': [0.1438297630306007, 0.10600678273340647]}",1539829429_model_168_lag.h5,"{'batch_size': 1000, 'epochs': 2, 'steps': None, 'samples': 15064, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-36.39319408908443,0.3105996505290832,1539829439.0,2012,
9,3,218.92194776230392,0.33,5,24,"{'val_loss': [0.047669098476337116, 0.04701623693346348, 0.04649019835002009, 0.04564127649983571, 0.04494545337533283], 'loss': [0.05469960650184252, 0.050442838617217635, 0.049586071702259954, 0.04886338098588822, 0.04811164379302468]}",1539831721_model_24_lag.h5,"{'batch_size': 3, 'epochs': 5, 'steps': None, 'samples': 23992, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",0.02933057765567825,0.21200342789633486,1539831723.0,2013,
10,3,251.1967854416497,0.33,5,72,"{'val_loss': [0.06985518348592343, 0.0648638994709834, 0.06235491508684013, 0.05986060692909662, 0.05917459760014731], 'loss': [0.06968720858310225, 0.06486442479833185, 0.06034027405176987, 0.058766999510092385, 0.05778913188403633]}",1539831933_model_72_lag.h5,"{'batch_size': 3, 'epochs': 5, 'steps': None, 'samples': 23944, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-0.8600815007173535,0.2432582942665549,1539831936.0,2013,
11,3,259.9814152622937,0.33,5,168,"{'val_loss': [0.06795505077769466, 0.06361738235911484, 0.06306491375825374, 0.06337168128697389, 0.06338576945626433], 'loss': [0.06992128912063549, 0.0668766456591958, 0.06164594956439267, 0.05979052020236097, 0.0593687605126772]}",1539832340_model_168_lag.h5,"{'batch_size': 3, 'epochs': 5, 'steps': None, 'samples': 23848, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-0.27673839585986704,0.2517653062578741,1539832344.0,2013,
12,1,190.89775286004013,0.33,10,6,"{'val_loss': [0.04281447349751669, 0.04243963490704943, 0.03993786860376985, 0.040704002846808966, 0.04053597462436186, 0.03909790738580413, 0.03929397052194117, 0.03931663140590057, 0.03884799893217206, 0.0378118686588471], 'loss': [0.057482204690869704, 0.04701119902945714, 0.045796477188535356, 0.04593011371167999, 0.04561517790504677, 0.0448390710970285, 0.04491403155026778, 0.044539363791779474, 0.04414008433379554, 0.04349008267148581]}",1539889446_model_6_lag.h5,"{'batch_size': 1, 'epochs': 10, 'steps': None, 'samples': 5998, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",0.2257305325335193,0.1944527419392728,1539889448.0,2013,4h resampling
13,1,217.8531189746384,0.33,10,18,"{'val_loss': [0.058219724905899606, 0.05810490630863983, 0.05771907523722489, 0.05419091178134186, 0.052440992953111845, 0.05043442132932219, 0.050233898805810105, 0.0513849392362733, 0.05035416328704782, 0.04924408524286429], 'loss': [0.0664452123766272, 0.05996667446110608, 0.05875638239018351, 0.05690685156684229, 0.05444805825376141, 0.05260316043659816, 0.05234617764695837, 0.05181189759207598, 0.05075409962720319, 0.05093850730002852]}",1539889693_model_18_lag.h5,"{'batch_size': 1, 'epochs': 10, 'steps': None, 'samples': 5986, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-0.31131246248308786,0.2219100837488619,1539889695.0,2013,4h resampling
14,1,220.78096652682805,0.33,10,42,"{'val_loss': [0.06029442484134387, 0.05900727834385508, 0.05530829321309661, 0.052036653665287924, 0.05136395992159989, 0.05199709712297735, 0.05054550641009076, 0.05100913545170892, 0.05062153764038741, 0.050576616331515584], 'loss': [0.06768205785532949, 0.06150463507152572, 0.05897397832073438, 0.057001770321047716, 0.05448486198159251, 0.05393004694574493, 0.05275359332651462, 0.05262626664622038, 0.05182125987515514, 0.051548344549635756]}",1539889972_model_42_lag.h5,"{'batch_size': 1, 'epochs': 10, 'steps': None, 'samples': 5962, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-0.056875904480175876,0.22489245507578312,1539889975.0,2013,4h resampling
